p,log2E
0.1,150.838688832079145
0.105,147.74174719538047
0.11,144.792488629051973
0.115,141.977808427722507
0.12,139.286276267019885
0.125,136.707862632236261
0.13,134.233718934523831
0.135,131.855999147489859
0.14,129.56771389730525
0.145,127.362610168497013
0.15,125.235071411552849
0.155,123.180034036068915
0.16,121.192917166356102
0.165,119.26956320956431
0.17,117.406187298654728
0.175,115.599334065948027
0.18,113.845840507661571
0.185,112.142803937711112
0.19,110.487554216140523
0.195,108.877629585733712
0.2,107.310755568524151
0.205,105.784826468726362
0.21,104.297889105137514
0.215,102.848128458169955
0.22,101.433854967360314
0.225,100.053493256769977
0.23,98.70557209994919
0.235,97.3887154644986459
0.24,96.1016344998455847
0.245,94.8431203515433856
0.25,93.6120377019120472
0.255,92.4073189507294239
0.26,91.2279589614169326
0.265,90.0730103081088421
0.27,88.941578967452163
0.275,87.8328204062002944
0.28,86.7459360218393832
0.285,85.6801698987875866
0.29,84.6348058472710247
0.295,83.609164695919693
0.3,82.602601812536403
0.305,81.6145048304507572
0.31,80.6442915604442472
0.315,79.6914080704772312
0.32,78.7553269174105001
0.325,77.8355455166328593
0.33,76.9315846370150655
0.335,76.0429870099379781
0.34,75.1693160423131209
0.345,74.3101546245476628
0.35,73.4651040253208235
0.355,72.6337828658500683
0.36,71.8158261670462455
0.365,71.0108844635983077
0.37,70.2186229796001654
0.375,69.4387208608429907
0.38,68.6708704593532247
0.385,67.9147766661660041
0.39,67.1701562886912619
0.395,66.4367374693602005
0.4,65.7142591425374221
0.405,65.0024705269524432
0.41,64.3011306511468665
0.415,63.6100079096530163
0.42,62.9288796478188704
0.425,62.2575317733749002
0.43,61.5957583930029138
0.435,60.9433614723169545
0.44,60.3001505178032957
0.445,59.6659422793919721
0.45,59.0405604724473532
0.455,58.4238355180710956
0.46,57.8156043007084134
0.465,57.2157099421388786
0.47,56.6240015910167161
0.475,56.0403342272035367
0.48,55.4645684802093228
0.485,54.8965704611258705
0.49,54.3362116075013637
0.495,53.7833685406658374
0.5,53.2379229350754847
0.505,52.6997613992995202
0.51,52.1687753683270995
0.515,51.6448610069240117
0.52,51.1279191238199421
0.525,50.6178550965574371
0.53,50.1145788068837022
0.535,49.6180045866164305
0.54,49.1280511739654043
0.545,48.6446416803430608
0.55,48.1677035677500064
0.555,47.6971686368760707
0.56,47.2329730261144007
0.565,46.7750572217458474
0.57,46.323366079614061
0.575,45.8778488586789233
0.58,45.4384592669078923
0.585,45.0051555200422853
0.59,44.5779004138593323
0.595,44.1566614106419402
0.6,43.7414107406675911
0.605,43.3321255196368476
0.61,42.9287878830819186
0.615,42.5313851389281723
0.62,42.1399099395281181
0.625,41.7543604746501782
0.63,41.3747406870857899
0.635,41.0010605127405644
0.64,40.6333361473012928
0.645,40.2715903418238413
0.65,39.9158527298711764
0.655,39.5661601891501706
0.66,39.2225572409552915
0.665,38.8850964911321924
0.67,38.5538391167306849
0.675,38.2288554030313124
0.68,37.9102253362101323
0.685,37.5980392575602977
0.69,37.2923985859249218
0.695,36.9934166158219364
0.7,36.7012193996661924
0.705,36.4159467235236576
0.71,36.1377531869715418
0.715,35.8668093988865409
0.72,35.6033033023342712
0.725,35.3474416431688367
0.73,35.0994515984389593
0.735,34.8595825821798053
0.74,34.6281082475585497
0.745,34.4053287055025703
0.75,34.1915729806763178
0.755,33.9872017257094226
0.76,33.7926102135326828
0.765,33.6082316250377919
0.77,33.4345406443725903
0.775,33.2720573661729909
0.78,33.1213515068948103
0.785,32.9830468949750208
0.79,32.8578261905917692
0.795,32.7464357541869999
0.8,32.6496905429596032
0.805,32.5684788664116646
0.81,32.5037667774751106
0.815,32.4566018189255975
0.82,32.4281157932738756
0.825,32.4195261899688864
0.83,32.4321359031040454
0.835,32.4673309265055434
0.84,32.5265758434434591
0.845,32.6114071547323656
0.85,32.7234248214843189
0.855,32.8642828293486233
0.86,33.0356800773962252
0.865,33.2393533984173948
0.87,33.4770749508172723
0.875,33.7506565068261068
0.88,34.0619632436735306
0.885,34.4129395222471153
0.89,34.8056488805904771
0.895,35.2423302179153725
0.9,35.7254720935939038
0.905,36.2579074383762324
0.91,36.8429320057818735
0.915,37.484451833095402
0.92,38.1871681569991707
0.925,38.9568131431984902
0.93,39.8004573260908617
0.935,40.7269214261555248
0.94,41.7473442160288516
0.945,42.8759900377115803
0.95,44.1314356435437581
