n,exact_E_T,log2_E_T,normalized_by_2_n_nplus1_over2
2,10,3.32192809488736235,1.25
3,58,5.85798099512757212,0.90625
4,602,9.23361967675970205,0.587890625
5,14106,13.7840213243741775,0.43048095703125
6,755610,19.5272822694067986,0.360302925109863281
7,87665306,26.3855026657779844,0.326578713953495026
8,21246839962,34.3065292343516231,0.309182213997701183
9,10550999832730,43.2624449514609963,0.299877451446093346
10,10622132397727898,53.2379229350754847,0.29482339896435833
11,21550601688453681306,64.2243619524912066,0.292065114612390766
12,87816587007152179196058,76.2169115527136092,0.290560712931569564
